capture,source,dest,dest_port,label,n_events,n_gaps,median_gap,mad_gap,rcv,mean_gap,std_gap,cv,min_gap,max_gap,median_bytes
anchor,10.2.28.88,10.2.28.2,53,unknown,260,259,0.7421419620513916,0.7421410083770752,0.9999987149704973,60.54787627886621,126.47809096485213,2.0888939255661123,0.0,600.0556330680847,70.0
anchor,10.2.28.88,10.2.28.2,123,unknown,13,12,1024.0196763277054,0.009428024291992188,9.206878060978825e-06,1197.6564897497494,397.33523057355274,0.33176059577531786,1024.008858203888,2048.0293052196503,120.0
anchor,10.2.28.88,10.2.28.2,135,unknown,41,40,312.5161210298538,243.76050233840942,0.7799933697344325,347.089521920681,326.0806748907287,0.939471387918321,2.1457672119140625e-06,1364.8998730182648,496.0
anchor,10.2.28.88,10.2.28.2,137,unknown,51,50,310.06138849258423,0.008534908294677734,2.7526511237570185e-05,310.06557971954345,0.016689648682577583,5.382618960051448e-05,310.03249406814575,310.10588693618774,
anchor,10.2.28.88,10.2.28.2,389,unknown,86,85,0.11691594123840332,0.11118102073669434,0.9509483442466165,163.5067399417653,306.78324989889046,1.876272806907866,0.004871845245361328,1537.9363877773285,2493.0
anchor,10.2.28.88,10.2.28.2,445,unknown,24,23,725.2123830318451,174.80143404006958,0.24103481701358898,665.2215234818666,346.82562434810393,0.5213686149732016,0.07501411437988281,1449.0356459617615,4744.0
anchor,10.2.28.88,10.2.28.2,49671,unknown,38,37,335.68805503845215,223.10962986946106,0.6646338066569109,375.23195159113084,323.01937730460054,0.8608525365040784,0.0031280517578125,1364.898649930954,3666.0
anchor,10.2.28.88,10.2.28.255,137,unknown,51,50,310.06146597862244,0.008503556251525879,2.7425388784403694e-05,310.39196926116944,2.3103200111804676,0.007443233846158315,310.0323050022125,326.4012598991394,1156.0
anchor,10.2.28.88,10.2.28.255,138,unknown,63,62,310.0414113998413,29.257896423339844,0.094367704917998,250.05319385374747,84.45456399213886,0.3377463918398704,65.49591279029846,365.08019399642944,1536.0
anchor,10.2.28.88,150.171.28.11,443,unknown,14,13,59.949033975601196,59.949031829833984,0.9999999642068091,937.1652661653666,1196.7830069753197,1.277024501635918,2.1457672119140625e-06,3610.2763969898224,3844.0
sunnystation,172.16.0.131,172.16.0.1,137,unknown,23,22,120.01397454738617,0.0011795759201049805,9.828654742529489e-06,119.97445350343531,3.1672352519134157,0.026399247168254248,108.38974380493164,127.7352077960968,204.0
sunnystation,172.16.0.131,172.16.0.52,53,unknown,61,60,5.1948384046554565,4.860585570335388,0.935656740733163,30.011457550525666,124.24813666363504,4.140023404543335,0.0006849765777587891,898.8734118938446,41.0
sunnystation,172.16.0.131,172.16.0.52,88,unknown,21,20,0.015856504440307617,0.014024496078491211,0.8844632895785406,2.631129205226898,9.376520665357518,3.5636868941025357,0.0010380744934082031,41.52125597000122,1676.0
sunnystation,172.16.0.131,172.16.0.52,389,unknown,17,16,0.09630107879638672,0.08932352066040039,0.9275443409025639,3.3297991156578064,10.69371156255158,3.211518530432135,0.0032379627227783203,42.52512288093567,217.0
sunnystation,172.16.0.149,135.148.121.246,8080,malicious,28,27,44.81229901313782,14.934061050415039,0.3332580871612223,93.7654362961098,240.218718427237,2.561911168083621,1.3669898509979248,938.6047461032867,890.5
sunnystation,172.16.0.149,172.16.0.1,137,unknown,24,23,120.00335097312927,0.012414932250976562,0.0001034548798037854,109.51690456141596,27.130326739282424,0.2477272969678212,13.927809953689575,120.03223395347595,204.0
sunnystation,172.16.0.149,172.16.0.52,53,unknown,104,103,0.10848021507263184,0.10841822624206543,0.9994285701726817,25.3228191172035,67.10427390107917,2.6499527398784246,4.315376281738281e-05,373.2753930091858,45.5
sunnystation,172.16.0.149,172.16.0.52,88,unknown,26,25,0.007494926452636719,0.006021738052368164,0.8034419137294821,0.5355134773254394,1.6374536924249485,3.057726391132158,5.698204040527344e-05,7.230729818344116,1668.0
sunnystation,172.16.0.149,172.16.0.52,135,unknown,10,9,8.40999698638916,8.398818969726562,0.9986708655567073,241.6635995441013,573.3747347998572,2.372615221661555,0.011178016662597656,1740.4127249717712,496.0
sunnystation,172.16.0.149,172.16.0.52,389,unknown,38,37,0.11629891395568848,0.10884499549865723,0.935907239341278,58.8243185700597,289.96134058281706,4.929276660255288,0.0025730133056640625,1740.4244759082794,2451.0
sunnystation,172.16.0.149,172.16.0.52,49667,unknown,10,9,8.410516023635864,8.396620988845825,0.9983478974713335,241.66179079479642,573.3751146523027,2.372634551645675,0.013895034790039062,1740.4116179943085,3757.0
sunnystation,172.16.0.170,172.16.0.1,137,unknown,24,23,120.01559019088745,0.004884958267211914,4.070269753656404e-05,114.7610837791277,17.383416723420705,0.1514748393007276,59.39804291725159,120.03187799453735,204.0
sunnystation,172.16.0.170,172.16.0.52,53,unknown,70,69,1.199204921722412,1.198127031326294,0.9991011624647353,37.619538321011305,76.78519503273112,2.0410988135344814,0.0002841949462890625,299.2737078666687,47.5
sunnystation,172.16.0.170,172.16.0.52,88,unknown,23,22,0.008356451988220215,0.006777405738830566,0.8110386738755189,0.9962252703579989,2.7610059059306344,2.7714674462518425,0.0015690326690673828,12.028902053833008,1701.0
sunnystation,172.16.0.170,172.16.0.52,135,unknown,10,9,79.56718111038208,79.46064114570618,0.9986610061687606,264.21940845913355,472.27858109785456,1.7874484840158942,0.010436058044433594,1430.7227449417114,496.0
sunnystation,172.16.0.170,172.16.0.52,389,unknown,37,36,0.11511337757110596,0.10691392421722412,0.9287706300788803,66.08138955301709,256.17000721620803,3.87658323998594,0.0019230842590332031,1430.7412331104279,2441.0
sunnystation,172.16.0.170,172.16.0.52,49667,unknown,10,9,79.57144117355347,79.4539201259613,0.9985230750397516,264.19256422254773,472.2946568823854,1.7876909528935072,0.014961957931518555,1430.7229540348053,3738.0
sunnystation,172.16.0.170,59.148.253.194,443,malicious,10,9,43.642070055007935,8.482967138290405,0.19437591130755685,141.3736595577664,301.04056339639374,2.12939641187817,6.418519020080566,943.0302538871765,838.5
dirtyrat,172.16.1.66,172.16.1.4,53,unknown,39,38,0.26241302490234375,0.2623525857925415,0.9997696794592237,13.445856395520662,37.49280392253878,2.7884281089770595,3.695487976074219e-05,182.00374221801758,47.0
dirtyrat,172.16.1.66,172.16.1.4,88,unknown,28,27,0.011049032211303711,0.010895013809204102,0.9860604622057269,4.148007922702366,12.28722585102385,2.9621992243011204,1.4066696166992188e-05,52.14823794364929,1802.0
dirtyrat,172.16.1.66,172.16.1.4,389,unknown,30,29,0.11366415023803711,0.10727405548095703,0.9437809129466253,11.30008524861829,29.544830703331623,2.6145670632833675,0.0003418922424316406,123.09008502960205,2626.0
dirtyrat,172.16.1.66,23.52.9.222,443,unknown,11,10,0.31076347827911377,0.015603423118591309,0.05020996419848608,1.8038496017456054,4.691489077557237,2.600820530169051,0.28954410552978516,15.15558409690857,2760.0
benign,10.0.2.10,224.0.0.252,5355,benign,10,9,0.04900002479553223,0.04762005805969238,0.971837427805431,4.5257622136010065,9.813895507886652,2.1684514220374926,0.0012149810791015625,28.59573197364807,83.0
benign,10.0.2.5,10.0.2.10,53,benign,10,9,10.108838081359863,10.084083080291748,0.9975511526775998,21.040361669328476,25.95086729027621,1.23338503862821,0.024755001068115234,75.10831904411316,37.5
