capture,source,dest,dest_port,label,n_events,n_gaps,median_gap,mad_gap,rcv,mean_gap,std_gap,cv,min_gap,max_gap,median_bytes,flag_0.05,score,flag_0.1,flag_0.2
anchor,10.2.28.88,10.2.28.2,53,unknown,260,259,0.7421419620513916,0.7421410083770752,0.9999987149704972,60.54787627886621,126.47809096485211,2.0888939255661123,0.0,600.0556330680847,70.0,False,-0.5759912326493232,True,True
anchor,10.2.28.88,10.2.28.2,123,unknown,13,12,1024.0196763277054,0.0094280242919921,9.206878060978825e-06,1197.6564897497494,397.3352305735528,0.3317605957753178,1024.008858203888,2048.0293052196503,120.0,False,-0.6003300448371894,True,True
anchor,10.2.28.88,10.2.28.2,135,unknown,41,40,312.5161210298538,243.76050233840945,0.7799933697344325,347.089521920681,326.0806748907287,0.939471387918321,2.1457672119140625e-06,1364.8998730182648,496.0,True,-0.6081793485200963,True,True
anchor,10.2.28.88,10.2.28.2,137,unknown,51,50,310.06138849258423,0.0085349082946777,2.7526511237570185e-05,310.06557971954345,0.0166896486825775,5.382618960051448e-05,310.0324940681457,310.10588693618774,0.0,False,-0.5954963871891642,True,True
anchor,10.2.28.88,10.2.28.2,389,unknown,86,85,0.1169159412384033,0.1111810207366943,0.9509483442466165,163.5067399417653,306.78324989889046,1.876272806907866,0.0048718452453613,1537.9363877773285,2493.0,False,-0.4752291592633902,False,False
anchor,10.2.28.88,10.2.28.2,445,unknown,24,23,725.2123830318451,174.80143404006958,0.2410348170135889,665.2215234818666,346.825624348104,0.5213686149732016,0.0750141143798828,1449.0356459617617,4744.0,True,-0.6261260422623439,True,True
anchor,10.2.28.88,10.2.28.2,49671,unknown,38,37,335.6880550384521,223.10962986946103,0.6646338066569109,375.2319515911309,323.01937730460054,0.8608525365040784,0.0031280517578125,1364.898649930954,3666.0,False,-0.5933035180161543,True,True
anchor,10.2.28.88,10.2.28.255,137,unknown,51,50,310.06146597862244,0.0085035562515258,2.742538878440369e-05,310.39196926116944,2.310320011180468,0.0074432338461583,310.0323050022125,326.4012598991394,1156.0,False,-0.5330911759119165,False,True
anchor,10.2.28.88,10.2.28.255,138,unknown,63,62,310.0414113998413,29.257896423339844,0.094367704917998,250.05319385374747,84.45456399213886,0.3377463918398704,65.49591279029846,365.08019399642944,1536.0,True,-0.617964877513569,True,True
anchor,10.2.28.88,150.171.28.11,443,unknown,14,13,59.9490339756012,59.949031829833984,0.9999999642068093,937.1652661653666,1196.7830069753195,1.277024501635918,2.1457672119140625e-06,3610.2763969898224,3844.0,False,-0.4932147005003202,False,False
