capture,source,dest,dest_port,label,n_events,n_gaps,median_gap,mad_gap,rcv,mean_gap,std_gap,cv,min_gap,max_gap,median_bytes
anchor,10.2.28.88,45.131.214.85,,malicious,264,263,60.08289408683777,0.009601116180419922,0.0001597978314184306,59.456259482713705,6.373816595679486,0.10720177574461454,0.14883208274841309,60.28487300872803,36.0
anchor,10.2.28.88,msedge.b.tlu.dl.delivery.mp.microsoft.com,,unknown,30,29,1.0489070415496826,0.23635196685791016,0.22533166190658574,373.5313094813248,1114.9053085950804,2.9847707013990528,0.09864497184753418,3604.785243988037,0.0
c2_2025,10.8.20.101,38.146.28.242,,malicious,48,47,60.10763883590698,0.07321715354919434,0.0012181006435650575,56.233172680469266,14.77149045716523,0.26268285698728894,0.158034086227417,60.3032021522522,36.0
c2_2025,10.8.20.101,79.141.165.202,,malicious,22,21,1.558109998703003,0.9858870506286621,0.6327454746130448,4.161137762523833,10.941143845600134,2.6293635226736787,0.36034607887268066,51.470746994018555,400696.0
benign,10.0.2.5,detectportal.firefox.com,,benign-synthetic,318,317,30.184016942977905,0.056993961334228516,0.001888216583031297,31.032435839108487,6.726440404746216,0.2167551538532225,30.067059993743896,118.60231590270996,0.0
benign,10.0.2.5,www.msftconnecttest.com,,benign-synthetic,28,27,60.1396861076355,0.05424690246582031,0.0009020150582218116,60.183064743324564,0.1716883449185133,0.0028527683934134775,60.057135820388794,60.746164083480835,0.0
